matched_term,file_name,match_line_number,know_option,think_option,verb,force,comp,subj,unique_id,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set
"well , I know it's money .",bobby_mothertoy.cha,1282,know,think,know,declarative,declarative,1,1.017,bobby,mother,*MOT:	which one's the ten dollar bill?,*CHI:	this.,*MOT:	what's that number on it?,*CHI:	&uh xxx.,"*MOT:	no, what's the number?",*CHI:	&uh xxx.,*MOT:	look at it !,*MOT:	don't guess.,*MOT:	look at it.,*CHI:	money.,"*MOT:	well, I know it's money.",*MOT:	but what number's that?,*CHI:	xxx.,25
I know I want some milk .,isadora_fathertoy.cha,364,know,think,know,declarative,declarative,1,1.019,isadora,father,*FAT:	can you find a good cereal in your store for me?,*CHI:	mhm.,*FAT:	which kind of good cereal is that?,*CHI:	&um there  there's drinks here too.,*FAT:	there're drinks too?,*CHI:	you could have hotdogs.,*FAT:	not for breakfast.,*CHI:	mhm.,*FAT:	well.,*FAT:	look.,*FAT:	I know I want some milk.,*FAT:	can I have one of these?,*CHI:	yeah.,25
she knows I'm going away .,victor_dinner.cha,3667,knows,thinks,know,declarative,declarative,3,1.001,victor,dinner,*MOT:	you xxx can do that but the next week I will not be here.,*MOT:	I will be on the vineyard.,*FAT:	xxx.,*MOT:	and I have him.,*MOT:	I come back Saturday.,*CHI:	ee@b !,*FAT: [clears throat].,*FAT:	that's convenient [laughs].,*MOT:	[laughs].,*MOT:	&um Alice might keep him.,*MOT:	she knows I'm going away.,*MOT:	she's agreed to .. help out.,*MOT:	or whatever .,25
I know he's awfully tired .,ursula_mothertoy.cha,2065,know,think,know,declarative,declarative,1,1.022,ursula,mother,"*MOT:	well the branch wasn't strong enough to hold him, so he's gonna",*CHI:	xxx.,"*MOT:	thud, right on the ground.",*MOT:	well . they're all kinda  battered and bruised and,*MOT:	there he .,*MOT:	look at him.,*MOT:	he's walking along behind just as . like nothing happened.,*MOT:	proud as can be .,*CHI:	is  is he a baby?,"*MOT:	no, I think he's kinda  tired out so they put him in",*MOT:	I know he's awfully tired.,*MOT:	look at him.,*MOT:	he ca  he's sitting down resting.,25
"oh yeah , I know that's a_lot_of good stuff in there xxx .",katie_dinner.cha,2081,know,think,know,declarative,declarative,1,1.013,katie,dinner,*MOT:	we're not gonna eat here so you can have a xxx .,*AUN:	xxx  left over night is the night you guys go out [laughs].,*FAT:	gonna finish your muffin?,"*AUN:	no, I'll xxx  .",*MOT:	give  her time.,*MOT:	give her time.,*AUN:	I like leftovers.,"*MOT:	well, there's  there's xxx and there's macaroni .",*CHI:	&mm .,*CHI:	&mm .,"*AUN:	oh yeah, I know that's a_lot_of good stuff in there xxx.","*AUN:	Katie, it's left over night.",*CHI:	who?,25
"I know one of the wheels goes in here , right ?",andy_fathertoy.cha,1072,know,think,know,declarative,declarative,1,1.014,andy,father,*FAT:	yeah. ,*FAT:	you're right. ,*FAT:	does this red fellow go here? ,*FAT:	no. ,*FAT:	xxx. ,*CHI:	where is my place? ,*FAT:	xxx. ,*CHI:	where's my place? ,*FAT:	well I know one thing. ,*CHI:	what? ,"*FAT:	I know one of the wheels goes in here, right? ",*FAT:	xxx. ,*CHI:	that's not the wheel. ,25
I know these go here .,david_mothertoy.cha,3541,know,think,know,declarative,declarative,1,1.012,david,mother,*MOT:	xxx.,*CHI:	take that thing out.,*MOT:	&uh oh.,*MOT:	&uh oh.,*CHI:	what happened?,*MOT:	&uh oh.,*MOT:	xxx.,*MOT:	the little bit that I did fell out.,*CHI:	which fell out?,*MOT:	the little nuts that I put back in.,*MOT:	I know these go here.,*MOT:	that's about the only thing I know.,*MOT:	okay.,25
I know you do .,victor_mothertoy.cha,195,know,think,know,declarative,declarative,1,1.008,victor,mother,*CHI:	soup?,*MOT:	maybe.,*MOT:	soup.,*CHI:	soup.,*CHI:	what's dis ?,*MOT:	that is .,*CHI:	what?,*MOT:	stuff you put in milk.,*MOT:	it's terrible it's all sugar.,*CHI:	I like sugar.,*MOT:	I know you do.,"*CHI:	what's dis , Mama?",*MOT:	that you know.,25
"I know you're <finished , > [>] Rachi .",john_dinner.cha,2188,know,think,know,declarative,declarative,1,1.003,john,dinner,*MOT:	Jimmy Carter would win.,*FAT:	I just wanted to make sure last time +/.,*MOT:	that .. what?,*SIS:	I going in there.,*MOT:	I don't think so.,*MOT:	because they're working in there.,*MOT:	and they don't want you to come there now.,*MOT:	after when they're finished you can come there.,*FAT:	they will be happy to have you +/.,*SIS:	and me finished.,"*MOT:	I know you're finished,   Rachi.",*SIS:	please .,*MOT:	how about something else?,25
I knew it kept spinning and it wasn't doing any good .,ursula_mothertoy.cha,3370,knew,thought,know,declarative,declarative,1,1.023,ursula,mother,*CHI:	that goes  in the back.,*MOT:	there's a thing that goes in the o@l.,*CHI:	&um .. this goes in the front because it  .,*MOT:	that's the wheel .,*MOT:	oh .,*CHI:	xxx .,*MOT:	that's why.,*MOT:	here.,*MOT:	this goes here.,*MOT:	that's why .,*MOT:	I knew it kept spinning and it wasn't doing any good.,*MOT:	there ya go.,*MOT:	this goes in here like this.,25
