matched_term,file_name,match_line_number,know_option,think_option,verb,force,comp,subj,unique_id,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set,factors
I know I definitely need cereal .,ursula_mothertoy.cha,864,know,think,know,declarative,declarative,1,1.021,ursula,mother,*MOT:	what do you  wanna do?,*MOT:	how  .,*MOT:	are you gonna  are we gonna buy something at the store?,*CHI:	no.,*CHI:	you  you buy . the money and then you git one.,*MOT:	am I supposed to buy thing from you?,*MOT:	are you a lady that works in the store?,"*CHI:	&um, yeah.",*MOT:	oh .. okay .. you're a lady that works there.,"*MOT:	let me see now, what would I like to buy today?",*MOT:	I know I definitely need cereal.,*MOT:	may  I have a box of Rice Krispies and a box of corn flakes?,*CHI:	&ah   we don't have Rice Krispies.,666,know-declarative-declarative
"I know you're <finished , > [>] Rachi .",john_dinner.cha,2188,know,think,know,declarative,declarative,1,1.003,john,dinner,*MOT:	Jimmy Carter would win.,*FAT:	I just wanted to make sure last time +/.,*MOT:	that .. what?,*SIS:	I going in there.,*MOT:	I don't think so.,*MOT:	because they're working in there.,*MOT:	and they don't want you to come there now.,*MOT:	after when they're finished you can come there.,*FAT:	they will be happy to have you +/.,*SIS:	and me finished.,"*MOT:	I know you're finished,   Rachi.",*SIS:	please .,*MOT:	how about something else?,666,know-declarative-declarative
I know it's not a big favor [=! laughing] .,victor_dinner.cha,3411,know,think,know,declarative,declarative,1,1.016,victor,dinner,*MOT: [imitates noise so cold]?,*MOT:	no thank_you.,*FAT:	&mm: boy.,*MOT: [snickers].,*FAT: [snickers and grunts]6. no thanks.,*MOT:	goes with the corn on 3. your chin.,"*FAT:	orange and yellow, it's very . xxx sunny ya know.",*CHI:	no?,*MOT:	no thanks I'm debating whether to tell you guys you can come to the,*FAT: [laughing don't do me any favors xxx].,*MOT:	I know it's not a big favor [laughing].,*MOT:	that's why I'm debating.,*FAT:	[laughs].,666,know-declarative-declarative
she knows I'm going away .,victor_dinner.cha,3667,knows,thinks,know,declarative,declarative,3,1.001,victor,dinner,*MOT:	you xxx can do that but the next week I will not be here.,*MOT:	I will be on the vineyard.,*FAT:	xxx.,*MOT:	and I have him.,*MOT:	I come back Saturday.,*CHI:	ee@b !,*FAT: [clears throat].,*FAT:	that's convenient [laughs].,*MOT:	[laughs].,*MOT:	&um Alice might keep him.,*MOT:	she knows I'm going away.,*MOT:	she's agreed to .. help out.,*MOT:	or whatever .,666,know-declarative-declarative
and I know you like little books .,victor_mothertoy.cha,1812,know,think,know,declarative,declarative,1,1.004,victor,mother,*MOT:	may I see?,*CHI:	don't take a peek.,*MOT:	[laughs take a peek]?,*CHI:	no.,*MOT:	don't take a peek.,*MOT:	would you like a story?,"*CHI:	what, Mama?",*MOT:	would you like a story?,*CHI:	yeah.,*MOT:	I saw a little tiny book over here.,*MOT:	and I know you like little books.,*CHI:	where?,*MOT:	over here.,666,know-declarative-declarative
I know he's awfully tired .,ursula_mothertoy.cha,2065,know,think,know,declarative,declarative,1,1.022,ursula,mother,"*MOT:	well the branch wasn't strong enough to hold him, so he's gonna",*CHI:	xxx.,"*MOT:	thud, right on the ground.",*MOT:	well . they're all kinda  battered and bruised and,*MOT:	there he .,*MOT:	look at him.,*MOT:	he's walking along behind just as . like nothing happened.,*MOT:	proud as can be .,*CHI:	is  is he a baby?,"*MOT:	no, I think he's kinda  tired out so they put him in",*MOT:	I know he's awfully tired.,*MOT:	look at him.,*MOT:	he ca  he's sitting down resting.,666,know-declarative-declarative
"I know it's your birthday and you got presents , but you still have_to eat your dinner .",charlie_dinner.cha,1525,know,think,know,declarative,declarative,1,1.015,charlie,dinner,*CHI:	xxx living room.,"*FAT:	you didn't lose it, you just left it in the living room.",*CHI:	why?,*FAT:	I don't know why.,*FAT:	why?,*CHI:	no.,"*FAT:	well, it's hard to eat with a baseball mitt on.",*FAT:	that's why.,"*CHI:	but Dad, I wanna see it.","*CHI:	Dad, it's my birthday and I get presents.","*FAT:	I know it's your birthday and you got presents, but you still have_to eat your dinner.",*CHI:	I don't want any: xxx.,*FAT:	sure you do.,666,know-declarative-declarative
I knew it kept spinning and it wasn't doing any good .,ursula_mothertoy.cha,3370,knew,thought,know,declarative,declarative,1,1.023,ursula,mother,*CHI:	that goes  in the back.,*MOT:	there's a thing that goes in the o@l.,*CHI:	&um .. this goes in the front because it  .,*MOT:	that's the wheel .,*MOT:	oh .,*CHI:	xxx .,*MOT:	that's why.,*MOT:	here.,*MOT:	this goes here.,*MOT:	that's why .,*MOT:	I knew it kept spinning and it wasn't doing any good.,*MOT:	there ya go.,*MOT:	this goes in here like this.,666,know-declarative-declarative
I know I hate those things too artificial corn holders .,victor_dinner.cha,1846,know,think,know,declarative,declarative,1,1.02,victor,dinner,*MOT:	[laughs they'd like you to][laughs schedule it more than].,*MOT:	.. except it's on my calendar.,*MOT:	she understanded  .,*FAT: [grunts].,*MOT:	[laughs].,*FAT:	&mm: xxx.,*FAT: [grunts].,*MOT:	she said they call you the night .,*MOT:	they call you one night .. during the week before you come and,*CHI:	those things out.,*MOT:	I know I hate those things too artificial corn holders.,*FAT:	well .,*FAT: [grunts].,666,know-declarative-declarative
"oh yeah , I know that's a_lot_of good stuff in there xxx .",katie_dinner.cha,2081,know,think,know,declarative,declarative,1,1.013,katie,dinner,*MOT:	we're not gonna eat here so you can have a xxx .,*AUN:	xxx  left over night is the night you guys go out [laughs].,*FAT:	gonna finish your muffin?,"*AUN:	no, I'll xxx  .",*MOT:	give  her time.,*MOT:	give her time.,*AUN:	I like leftovers.,"*MOT:	well, there's  there's xxx and there's macaroni .",*CHI:	&mm .,*CHI:	&mm .,"*AUN:	oh yeah, I know that's a_lot_of good stuff in there xxx.","*AUN:	Katie, it's left over night.",*CHI:	who?,666,know-declarative-declarative
I know you do .,victor_mothertoy.cha,195,know,think,know,declarative,declarative,1,1.008,victor,mother,*CHI:	soup?,*MOT:	maybe.,*MOT:	soup.,*CHI:	soup.,*CHI:	what's dis ?,*MOT:	that is .,*CHI:	what?,*MOT:	stuff you put in milk.,*MOT:	it's terrible it's all sugar.,*CHI:	I like sugar.,*MOT:	I know you do.,"*CHI:	what's dis , Mama?",*MOT:	that you know.,666,know-declarative-declarative
I know you have Rice Krispies here in the store someplace .,david_mothertoy.cha,315,know,think,know,declarative,declarative,1,1.005,david,mother,*MOT:	you're trying to make me buy everything.,*CHI:	no.,*CHI:	no.,*CHI:	because that's what you have_to have.,*MOT:	okay.,*MOT:	Mr Storeman.,"*MOT:	there's one thing that I really, really, really want.",*MOT:	and I would really appreciate it if you would get it for me.,*CHI:	what is that?,*MOT:	and that's some Rice Krispies.,*MOT:	I know you have Rice Krispies here in the store someplace.,*MOT:	can you find me some?,*CHI:	I don't have any.,666,know-declarative-declarative
no ya know Daddy wasn't home .,eddie_dinner.cha,992,know,think,know,declarative,declarative,2,1.002,eddie,dinner,*MOT:	xxx.,*MOT:	did you tell Daddy who had supper with us last night?,*MOT:	xxx.,*MOT:	who ate here last night?,*FAT:	I didn't see you last night .,*CHI:	Uncle Allen .,*FAT:	Allen who?,*CHI:	Allen Reed.,*FAT:	okay.,*FAT:	I didn't see you last night.,*MOT:	no ya know Daddy wasn't home.,*FAT:	tell me what you did last night.,"*MOT:	tell him, yeah  tell him what happened.",666,know-declarative-declarative
I know you don't .,helen_dinner.cha,526,know,think,know,declarative,declarative,1,1.006,helen,dinner,*MOT:	when is the corn gonna be ready?,*CHI:	yeah.,"*MOT:	oh, in about ten minutes.","*CHI:	Mommy, I want some more soup.",*MOT:	you do?,"*MOT:	alright here, I'll give you some of mine, okay?","*SIS:	Ma, I don't want any more .","*FAT:	you can have some more carrots,   too.",*MOT:	oh.,*SIS:	I don't want any more.,*MOT:	I know you don't.,*MOT:	it's alright 6..,"*CHI:	thank_you, Daddy.",666,know-declarative-declarative
"I know one of the wheels goes in here , right ?",andy_fathertoy.cha,1072,know,think,know,declarative,declarative,1,1.014,andy,father,*FAT:	yeah. ,*FAT:	you're right. ,*FAT:	does this red fellow go here? ,*FAT:	no. ,*FAT:	xxx. ,*CHI:	where is my place? ,*FAT:	xxx. ,*CHI:	where's my place? ,*FAT:	well I know one thing. ,*CHI:	what? ,"*FAT:	I know one of the wheels goes in here, right? ",*FAT:	xxx. ,*CHI:	that's not the wheel. ,666,know-declarative-declarative
yeah I know what he wants .,olivia_dinner.cha,567,know,think,know,declarative,interrogative,1,3.014,olivia,dinner,*FAT:	they're unreal.,*MOT:	was he xxx that night?,*FAT:	he was on that night yeah.,*FAT:	he's a good public relations man.,*FAT:	he sent residents to the party while he stayed in the hospital,*CHI:	wah  !,*CHI:	wah  !,*FAT:	all public relations.,*MOT:	oolee:   what's the matter ?,*CHI:	wah wah [high pitched noises].,*MOT:	yeah I know what he wants.,*MOT:	. you tired little fella?,*FAT:	are you tired little fella ?,666,know-declarative-interrogative
I know why I'm <standing up> [>] .,patricia_dinner.cha,2007,know,think,know,declarative,interrogative,1,3.003,patricia,dinner,*FAT:	I know.,"*FAT:	I showed her that, but xxx.",*FAT:	look at it after dinner if you want.,*FAT:	eat your pickle.,*FAT:	I gave you a pickle to eat.,*FAT:	Usher likes pickles.,*CHI:	mumnum  mummum  .,*MOT:	what.,*MOT:	is the  is the xxx gone?,*FAT:	alright.,*FAT:	I know why I'm standing up .,*FAT:	I wanna call Michael.,*MOT:	the french frys are all_gone.,666,know-declarative-interrogative
"I know what goes back here , Lisa .",wanda_mothertoy.cha,1000,know,think,know,declarative,interrogative,1,3.016,wanda,mother,*CHI:	Lisa.,"*MOT:	Debbie and Lisa, the two mechanics?",*CHI:	yeah.,"*MOT:	okay, Debbie   Debbie what do think we.",*CHI:	Debra .,*MOT:	should do?,*CHI:	&uh.,*MOT:	to fix this car?,*CHI:	I don't know.,"*MOT:	&um, let's see if I can remember what goes back here.","*MOT:	I know what goes back here, Lisa.",*MOT:	Debbie.,*MOT:	who are you?,666,know-declarative-interrogative
I know what it is .,guy_fathertoy.cha,2076,know,think,know,declarative,interrogative,1,3.013,guy,father,*FAT:	what have we done wrong?,"*FAT:	&hmm xxx perhaps try that now, Guy.",*CHI:	what?,*CHI:	what?,"*FAT:	try it  try it now, sweetheart.",*FAT:	I don't think that makes a difference.,*FAT:	do you know something?,*CHI:	what?,*FAT:	I think . we're doing something wrong.,*FAT:	&ah !,*FAT:	I know what it is.,*FAT:	I know.,*FAT:	let's take it off.,666,know-declarative-interrogative
&uh o:h now I know why they call it a Take_apart car [=! laughs] !,wanda_mothertoy.cha,481,know,think,know,declarative,interrogative,1,3.002,wanda,mother,*MOT:	you want to make it looser if you want to take it apart.,*CHI:	oh [coughs].,*CHI:	I wonder if the door's locked.,"*MOT:	oh, no.",*MOT:	it's not locked.,*MOT:	it's just closed so_that people walking up and down the hall won't,*CHI:	oh.,*MOT:	that's one more.,"*MOT:	okay ., who's going to take the tire off, me or you?",*MOT:	you.,*MOT:	&uh oh now I know why they call it a Take_apart car [laughs]!,*MOT:	that's one whole side of the car taken apart.,"*MOT:	here, we've got one more side of the car to take apart.",666,know-declarative-interrogative
"oh I know what you're gonna buy , too .",eddie_mothertoy.cha,1803,know,think,know,declarative,interrogative,1,3.007,eddie,mother,*CHI:	I don't want to.,*MOT:	okay do you wanna buy something from me?,*CHI:	no.,*MOT:	huh?,*CHI:	what?,*MOT:	would you like to buy something from me?,"*MOT:	I'll be a store lady, okay?",*CHI:	nah.,*MOT:	and  you come over and buy something.,*CHI:	no I wanna be .,"*MOT:	oh I know what you're gonna buy, too.",*CHI:	no I wanna be .,*MOT:	you wanna be the storeman?,666,know-declarative-interrogative
I know what happens .,guy_mothertoy.cha,2323,know,think,know,declarative,interrogative,1,3.0154,guy,mother,*MOT:	 you didn't lose your kitty.,*CHI:	sit.,*MOT:	sit kitty?,*CHI:	uhhuh.,*MOT:	&mm.,*MOT:	why?,*MOT:	is the kitty running too fast or something?,*CHI:	uhhuh.,*MOT:	&mm.,*MOT:	oh.,*MOT:	I know what happens.,*MOT:	the policeman says to the cat .,*MOT:	 come here cat.,666,know-declarative-interrogative
"course he knows where she is , he's peeking at her from behind the tree .",ursula_mothertoy.cha,1699,knows,thinks,know,declarative,interrogative,3,3.018,ursula,mother,*CHI:	me.,*MOT:	[laughs she's giving her kitty cat a li]ttle ride in the carriage,*CHI:	yeah.,*MOT:	oh oh [gasp]!,*MOT:	look what happened.,"*MOT:	she's bending over to pick a very pretty flower, and . the cat",*MOT:	cats don't usually like to ride too well so . he's trying to run,*MOT:	she turns around and she goes .,*MOT:	 oh no:.,*MOT:	she sees the blanket on the ground and the cat's gone.,"*MOT:	course he knows where she is, he's peeking at her from behind the tree.",*MOT:	she runs off to get a policeman because she cann't find her cat.,*MOT:	she's really kind of worried.,666,know-declarative-interrogative
we know where the people go .,andy_fathertoy.cha,1418,know,think,know,declarative,interrogative,1,3.017,andy,father,*FAT:	where do the red and the black screw go? ,*CHI:	and where does dis  go? ,*CHI:	and these two blue screws? ,*FAT:	I dunno . ,*FAT:	and what was holding the wheel? ,*FAT:	we didn't remember. ,*FAT:	we should have .. maybe even written some things down. ,"*FAT:	like what belongs where, &hmm? ",*CHI:	but we knew where dese  people go . ,*FAT:	yup  that we know. ,*FAT:	we know where the people go. ,*CHI:	I know where dese:  go. ,*FAT:	I wonder what holds in the spare tire? ,666,know-declarative-interrogative
"you know where to [//] where things go , right ?",andy_mothertoy.cha,1045,know,think,know,declarative,interrogative,2,3.001,andy,mother,*MOT:	okay. ,*CHI:	xxx back. ,*CHI:	I'll watch you. ,*MOT:	you'll watch me? ,*MOT:	you're not gonna help me? ,*MOT:	I'm not sure I could do it either. ,*CHI:	someone help us. ,"*MOT:	[laughs the blue screws go in front, right]? ",*MOT:	&th these are the headlights. ,*MOT:	you come help me. ,"*MOT:	you know where to  where things go, right? ",*MOT:	the people? ,*CHI:	the people belong inside it. ,666,know-declarative-interrogative
I know what we could do .,david_dinner.cha,1401,know,think,know,declarative,interrogative,1,3.008,david,dinner,*FAT:	I'm afraid we are  I think with your cream cheese and . &uh,"*FAT:	what're we gonna do when we wanna have a garlic bagel, David, or",*CHI:	we can &um.,*CHI:	you know what you can do?,*MOT:	what?,*SIS:	cream cheese and bagel on a . on a . &c  on a pretzel.,*MOT:	on a pretzel.,"*MOT:	oh, dear.","*MOT:	it's just not the same, though.",*CHI:	is that xxx.,*MOT:	I know what we could do., ,*CHI:	yeah !,666,know-declarative-interrogative
I know where that is .,eddie_dinner.cha,510,know,think,know,declarative,interrogative,1,3.006,eddie,dinner,*FAT:	now tell me what you did.,"*CHI:	well, you know where I went with Philip and baby Mark?","*FAT:	nope, where'd you go?",*CHI:	to the playground with Philip and baby Mark and Joel and Rachel,*FAT:	which playground was this ?,*FAT:	what playground was this?,*MOT:	Clarendon Street.,*CHI:	Clarendon Street.,*FAT:	oh yeah.,*FAT:	mhm.,*FAT:	I know where that is.,*MOT:	and who did we see when we was at the playground?,*CHI:	Yoye.,666,know-declarative-interrogative
I know what it is .,martin_dinner.cha,2690,know,think,know,declarative,interrogative,1,3.012,martin,dinner,*CHI:	0.,*MOT:	whyn't  you eat those potatoes?,*MOT:	you did a very nice job.,*MOT:	you ate all your scallops and your salad.,*MOT:	whyn't  you eat some potato?,*FAT:	what's the red stuff on the floor here ?,*CHI:	Daddy ate the scallops .,*MOT:	yeah [laughs but Daddy didn't eat too many of em].,"*FAT:	oh, God !",*FAT:	there's chopped up +/.,*MOT:	I know what it is.,*FAT:	chopped up crayon.,*CHI:	I eat too many of em .,666,know-declarative-interrogative
I know where they go .,frank_fathertoy.cha,659,know,think,know,declarative,interrogative,1,3.004,frank,father,*CHI:	this go in here?,*FAT:	I don't think so.,*FAT:	xxx something else goes in there first.,*FAT:	wait a minute.,*CHI:	what?,*FAT:	doesn't something go in there?,*FAT:	what about these.,*FAT:	where do they go?,*FAT:	&uh oh.,*FAT:	oh.,*FAT:	I know where they go.,*FAT:	you know where they go?,*FAT:	where?,666,know-declarative-interrogative
<I know what> [<] that is .,ursula_fathertoy.cha,3671,know,think,know,declarative,interrogative,1,3.01,ursula,father,*INV:	I brought you a present for today's visit.,"*CHI:	look, Daddy.","*FAT:	what's that, Urs?",*CHI:	I don't know.,*CHI:	I can't open it.,*CHI:	it's too tight to xxx.,*INV:	it is pretty tight.,*INV:	that's just for today's visit.,*FAT: [gasp].,*INV:	we have another present for her second visit .,*FAT:	I know what  that is.,*CHI:	what is it?,*FAT:	that's bubbles.,666,know-declarative-interrogative
do you know that this car comes apart ?,martin_mothertoy.cha,280,know,think,know,interrogative,declarative,2,4.012,martin,mother,*MOT:	do you know what this is?,*CHI:	xxx car xxx what's this?,*CHI:	xxx.,*MOT:	you wanna play with this car?,*MOT:	you want me to show you how it works?,*MOT:	do you know what  do you know what this is?,*MOT:	that's a screwdriver.,*CHI:	uhhuh I wanna use it.,*CHI:	xxx.,*MOT:	do you what takes a .,*MOT:	do you know that this car comes apart?,*MOT:	do you know that you can unscrew this right here?,*CHI:	yeah.,666,know-interrogative-declarative
do you know that you can unscrew this right here ?,martin_mothertoy.cha,284,know,think,know,interrogative,declarative,2,4.011,martin,mother,*CHI:	xxx car xxx what's this?,*CHI:	xxx.,*MOT:	you wanna play with this car?,*MOT:	you want me to show you how it works?,*MOT:	do you know what  do you know what this is?,*MOT:	that's a screwdriver.,*CHI:	uhhuh I wanna use it.,*CHI:	xxx.,*MOT:	do you what takes a .,*MOT:	do you know that this car comes apart?,*MOT:	do you know that you can unscrew this right here?,*CHI:	yeah.,*MOT:	that's right yeah look at that.,666,know-interrogative-declarative
did you know there was a store in here ?,ursula_fathertoy.cha,2011,know,think,know,interrogative,declarative,2,4.019,ursula,father,*FAT:	you're not . .,*CHI:	you hafta do it at the bottom and then it comes out like this.,*FAT:	oh?,*CHI:	yeah.,*CHI:	can you fix the car like this?,*FAT:	I'll tell you what.,*FAT:	why don't we .,*FAT:	Dad'll put the car back.,*FAT:	why don't you go take a look over here and see what they have at,*CHI:	what store?,*FAT:	did you know there was a store in here?,*CHI:	yeah.,*CHI:	xxx.,666,know-interrogative-declarative
do you <know daddy woke you up this morning> [>] ?,laurel_dinner.cha,2187,know,think,know,interrogative,declarative,2,4.015,laurel,dinner,"*FAT:	the other thing, tootsie .",*MOT:	yeah.,*CHI:	wanna get down now.,*CHI:	wanna get down.,"*MOT:	you know, you're gonna wake up at about ten o'clock and tell me",*FAT:	what time did you sleep till this morning?,*MOT:	she slept a long time.,*FAT:	she slept until I woke her up to &ge  to go to work .,"*MOT:	yeah, she slept a long time .",*FAT:	you  you know you slept until daddy hadda  wake you up,*FAT:	do you know daddy woke you up this morning ?,*MOT:	you was a very good girl this morning .,*CHI:	you woke me up when I got up.,666,know-interrogative-declarative
o:h did she know that was the cat in there ?,theresa_mothertoy.cha,196,know,think,know,interrogative,declarative,3,4.001,theresa,mother,*CHI:	yeah .,*MOT:	okay .,*MOT:	turn the page now?,*CHI:	yes.,*MOT:	okay.,*CHI:	and  and then  and then the &um +/.,*MOT:	xxx the picture first .,*CHI:	and then  the cat fell out when when she was &um picking the,*CHI:	and then  and then  then she no baby.,*CHI:	an the  an the  an the  an the  an the cloth fell out.,*MOT:	oh did she know that was the cat in there?,*MOT:	or xxx was the baby that she thought?,*CHI:	she thought that a cat was there.,666,know-interrogative-declarative
do you know that they go to school and they even have work to do in school ?,john_dinner.cha,220,know,think,know,interrogative,declarative,2,4.013,john,dinner,*FAT:	xxx.,*MOT:	anybody that's hungry.,*MOT:	come over here.,*FAT:	we're having supper.,*CHI:	xxx.,*FAT:	we're having supper right now.,*MOT:	as a matter of fact we're going to close the door here.,"*MOT:	no, no one is playing here.","*MOT:	no, I want to explain something to you.",*MOT:	Janet and Sandy are not playing now.,*MOT:	do you know that they go to school and they even have work to do in school?,*FAT:	and do you know something else?,*MOT:	can you get out some glass and stuff so we can   .,666,know-interrogative-declarative
did you know there was water on the other side ?,laurel_fathertoy.cha,628,know,think,know,interrogative,declarative,2,4.018,laurel,father,*FAT:	are they gonna get wet?,*CHI:	yeah.,*FAT:	do you think they'd better put their &sw .,*FAT:	look [gasp].,*FAT:	you're right.,*FAT:	look.,*FAT:	it's a hole that's gonna go into the water.,*FAT:	did you read this book before?,*FAT:	have you seen this book before?,*CHI:	no.,*FAT:	did you know there was water on the other side?,*FAT:	look.,*CHI:	hey .,666,know-interrogative-declarative
you know that we're going to go ?,theresa_dinner.cha,1060,know,think,know,interrogative,declarative,2,4.006,theresa,dinner,*CHI:	and then we saw some tom  tomato juice on somebod  on,*MOT:	xxx  ya know what I think?,*FAT:	&hmm.,*CHI:	what?,*MOT: [laughing I think you're making up a big story].,*CHI:	I'm not !,*FAT:	you know that  in about a month we're going to Florida?,*CHI:	Daddy: !,*CHI:	are you there?,*CHI:	what'd you say about .,*FAT:	you know that we're going to go?,*CHI:	yes !,*FAT:	we gonna fly a plane.,666,know-interrogative-declarative
you know that Betty's going to bring that dog to Israel ?,david_dinner.cha,561,know,think,know,interrogative,declarative,2,4.008,david,dinner,*MOT:	and .. a big cat.,*CHI:	a what +/.,*MOT:	and they were fighting with each_other.,"*CHI:	&uh, how did Betty stopped it?",*MOT:	she said .,*MOT:	 stop it you guys !,*CHI:	and did they do it?,"*MOT:	yeah, they did.",*CHI:	what?,"*MOT:	yeah, they stopped.",*MOT:	you know that Betty's going to bring that dog to Israel?,*MOT:	I don't believe it.,*FAT:	hm.,666,know-interrogative-declarative
do you know they don't have bagels in Israel ?,david_dinner.cha,1271,know,think,know,interrogative,declarative,2,4.01,david,dinner,*CHI:	I don't like these . anyway.,*FAT:	 would you eat them in a box?,*FAT:	 would you eat them with a .,*CHI:	xxx.,*FAT:	 not in a box.,*CHI:	not in a box.,*FAT:	 not with a fox .,*FAT:	 not in a house .,*CHI:	not in a box.,*MOT:	how bout with some lox?,*MOT:	do you know they don't have bagels in Israel?,*FAT:	no +/.,*MOT:	couldn't believe it.,666,know-interrogative-declarative
"you can see [/] you can see Michael's daddy play , you know Michael's daddy plays baseball (.) for the Red Sox ?",frank_dinner.cha,741,know,think,know,interrogative,declarative,2,4.009,frank,dinner,*MOT:	some rental agent just tried to make it sound better than it was.,*FAT:	they probably came in without a lease too.,*FAT:	they just there for such a short period.,*MOT:	oh they think  they're giving six week  six month leases.,*FAT:	oh.,"*MOT:	Frank, you stop that +/.",*FAT:	don't kick please.,*FAT:	you know what I got . for next month?,*CHI:	what?,*FAT:	two tickets for the Red Sox game.,"*MOT:	you can see  you can see Michael's daddy play, you know Michael's daddy plays baseball . for the Red Sox?",*MOT:	&um . something else.,*MOT:	what else?,666,know-interrogative-declarative
