matched_term,file_name,match_line_number,definite_option,indefinite_option,target,token,force,position,modifier,unique_id,copular_use,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set,factors
that's the easy part.,andy_fathertoy.cha,719,the,an,definite,the,declarative,object,easy,10.01,yes,andy,father,FATHER: \t I hope we remember what goes where.,FATHER: \t don't we forget this blue one now.,FATHER: \t and I'll get the wheel ones.,CHILD: \t yeah look it happened.,CHILD: \t it turns around.,FATHER: \t [laugh],"CHILD: \t but Dad, we're gonna have to move this around.",CHILD: \t but we know where these pieces go.,CHILD: \t watch.,FATHER: \t yeah.,FATHER: \t that's the easy part.,FATHER: \t you get that blue one?,CHILD: \t sure.,n/a,definite
must be a red one.,andy_fathertoy.cha,1166,the,a,indefinite,a,declarative,object,red,10.02,yes,andy,father,FATHER: \t okay.,CHILD: \t where's the screws?,FATHER: \t what kind of screws?,FATHER: \t was they blue?,CHILD: \t yup.,FATHER: \t let's see.,FATHER: \t is there a hole there for that screw?,FATHER: \t no.,FATHER: \t ...can you put that in now?,FATHER: \t is it a blue screw or a red one?,FATHER: \t must be a red one.,FATHER: \t ...okay.,CHILD: \t [noise],n/a,indefinite
we have a couple of toys.,bobby_fathertoy.cha,549,the,a,indefinite,a,declarative,object,n/a,10.03,no,bobby,father,FATHER: \t well hi.,FATHER: \t how are you?,CHILD: \t hi.,FATHER: \t what can I do for ya?,CHILD: \t I want some toys.,FATHER: \t some toys?,CHILD: \t yeah.,FATHER: \t well.,FATHER: \t I don't think we have any toys…,FATHER: \t well.,FATHER: \t we have a couple of toys.,CHILD: \t yeah I want…,FATHER: \t we have mostly food.,n/a,indefinite
"you're doing a big big... uh order, aren't you?",bobby_fathertoy.cha,723,the,a,indefinite,a,interrogative,object,big,10.04,no,bobby,father,FATHER: \t all of them.,FATHER: \t okay.,FATHER: \t what else do you need?,FATHER: \t anything else?,CHILD: \t eggs.,FATHER: \t eggs.,FATHER: \t okay.,FATHER: \t all... this whole big one?,CHILD: \t yeah.,FATHER: \t [whistle] whew.,"FATHER: \t you're doing a big big... uh order, aren't you?",CHILD: \t and milk.,FATHER: \t ya need milk.,n/a,indefinite
"Bobby, thank you very much for coming we have a present for you.",bobby_fathertoy.cha,3062,the,a,indefinite,a,declarative,object,n/a,10.05,no,bobby,father,INVESTIGATOR: \t hi.,INVESTIGATOR: \t I'm Lise Menn.,INVESTIGATOR: \t [noise],INVESTIGATOR: \t thank you very much for coming.,FATHER: \t we're all done.,FATHER: \t okay.,"INVESTIGATOR: \t hi, Bobby.",CHILD: \t hi.,FATHER: \t wanna hurry up and put it back together again.,CHILD: \t yeah.,"INVESTIGATOR: \t Bobby, thank you very much for coming we have a present for you.",FATHER: \t [gasp] what do you say.,CHILD: \t thank you.,n/a,indefinite
you're going to give me a dollar?,bobby_mothertoy.cha,989,the,a,indefinite,a,interrogative,object,n/a,10.06,no,bobby,mother,MOTHER: \t so what...,MOTHER: \t how many dollars do I have there?,"CHILD: \t okay, you need…","MOTHER: \t anything, no.",MOTHER: \t I think Robert likes Nestles with cocoa.,CHILD: \t [noise],"MOTHER: \t oh, you want the strawberry stuff?",MOTHER: \t do you want me to buy that and take it home?,MOTHER: \t can I have some money to play store with you?,CHILD: \t yeah.,MOTHER: \t you're going to give me a dollar?,CHILD: \t yeah.,MOTHER: \t why don't I pay you for the uh cocoa.,n/a,indefinite
the whole house is like full of little projects that she's started.,david_dinner.cha,2447,the,a,definite,the,declarative,object,whole,10.07,yes,david,dinner,MOTHER: \t wipe it off on this.,FATHER: \t here.,"FATHER: \t no, give him that one.",MOTHER: \t you gotta wipe it off.,FATHER: \t okay.,MOTHER: \t wipe it off.,FATHER: \t that's right.,MOTHER: \t um... this...,"MOTHER: \t she put about three thousand dollars into this, um, quilting business and she hasn't made any money on it.",MOTHER: \t and she uses the basement for...,MOTHER: \t the whole house is like full of little projects that she's started.,"MOTHER: \t little rugs and... things, weaving...",FATHER: \t nice rugs?,n/a,definite
what's the cat doing now?,david_fathertoy.cha,1987,the,a,definite,the,interrogative,object,n/a,10.08,yes,david,father,FATHER: \t then the people... go after her.,CHILD: \t yeah.,FATHER: \t and.,FATHER: \t who catches the cat?,CHILD: \t which...,CHILD: \t the boy.,FATHER: \t yeah.,FATHER: \t and.,FATHER: \t then what happens?,CHILD: \t I don't know.,FATHER: \t what's the cat doing now?,CHILD: \t what happened to the lady?,FATHER: \t looks like she's holding the boy's ear.,n/a,definite
that's a nickel.,david_mothertoy.cha,550,the,a,indefinite,a,declarative,object,n/a,10.09,yes,david,mother,MOTHER: \t I will.,MOTHER: \t but what's that?,MOTHER: \t tell me what that is.,CHILD: \t nickel.,CHILD: \t and here's and here's one penny for it.,MOTHER: \t that's a penny.,MOTHER: \t thank you.,MOTHER: \t but you know what?,MOTHER: \t I wanna tell you so you'll know.,MOTHER: \t that's a penny.,MOTHER: \t that's a nickel.,MOTHER: \t cause it's big and fat.,MOTHER: \t and that's a dime.,n/a,indefinite
will you show me how to take the car apart?,david_mothertoy.cha,851,the,a,definite,the,interrogative,object,n/a,10.1,no,david,mother,MOTHER: \t thank you.,MOTHER: \t okay.,MOTHER: \t now.,MOTHER: \t what do...,MOTHER: \t do you want to play store more?,MOTHER: \t or do you want to play with those toys up there?,MOTHER: \t you tell me.,CHILD: \t uh.,MOTHER: \t hmm?,CHILD: \t uh I'm gonna show me the ... things.,MOTHER: \t will you show me how to take the car apart?,CHILD: \t yeah.,MOTHER: \t well.,n/a,definite
